錒	锕
擱	搁
鴿	鸽
鎶	鿔
閣	阁
閤	合
鮯	𫚗
韚	𫠅
騔	𩨀
嗰	𠮶
個	个
箇	个
鉻	铬
給	给
亘	亘
亙	亘
揯	搄
緪	縆
賡	赓
鶊	鹒
綆	绠
鯁	鲠
宮	宫
碽	䂵
龔	龚
鞏	巩
貢	贡
溝	沟
鉤	钩
緱	缑
韝	鞲 𫖕
夠	够
詬	诟
構	构
覯	觏
購	购
軲	轱
鈲	𨱃
鴣	鸪
鶻	鹘
谷	谷
詁	诂
鈷	钴
穀	谷
縎	𦈔
轂	毂
餶	馉
蠱	蛊
僱	雇
錮	锢
鯝	鲴
顧	顾
刮	刮
煱	㶽
颳	刮
鴰	鸹
騧	䯄
剮	剐
挂	挂
掛	挂
詿	诖
摑	掴
拐	拐
柺	拐
關	关
鰥	鳏
觀	观
輨	𫐑
館	馆
貫	贯
慣	惯
摜	掼
鏆	𨱌
鸛	鹳
輄	𨐈
广	广
廣	广
獷	犷
規	规
閨	闺
嬀	妫
槼	椝
璝	𪻺
鮭	鲑
龜	龟
歸	归
鬹	鬶
軌	轨
匭	匦
詭	诡
柜	柜
貴	贵
匱	匮
劊	刽
劌	刿
槶	椢
檜	桧
瞶	瞆
簂	𫂆
櫃	柜
癐	𤶊
襘	𫋻
鱖	鳜
袞	衮
滾	滚
緄	绲
輥	辊
鯀	鲧
咼	呙
堝	埚
鈛	𫓨
嘓	啯
濄	㳡
鍋	锅
蟈	蝈
國	国
幗	帼
漍	𬇹
膕	腘
槨	椁
錁	锞
餜	馃
過	过
頦	颏
還	还
駭	骇
頇	顸
魽	𫠐
韓	韩
閈	闬
馯	𫘛
漢	汉
頷	颔
駻	𫘣
絎	绗
頏	颃
蚝	蚝
蠔	蚝
號	号
鎬	镐
顥	颢
灝	灏
訶	诃
合	合
紇	纥
核	核
頜	颌
魺	鲄
闔	阖
齕	龁
覈	核
鶡	鹖
鑉	𫠁
賀	贺
鶴	鹤
詪	𬣳
恆	恒
橫	横
鴴	鸻
哄	哄
輷	𫐒
轟	轰
紅	红
紘	纮
葒	荭
閎	闳
綋	𫟄
鉷	𫟹
魟	𫚉
鋐	𬭎
鴻	鸿
黌	黉
嗊	唝
訌	讧
鬨	哄
鍭	𬭤
餱	糇 𫗯
后	后
後	后
鮜	鲘
鱟	鲎
軤	轷
胡	胡
壺	壶
衚	胡
餬	𫗫
鵠	鹄
鬍	胡
鶘	鹕
鶦	𫛷
滸	浒
鯱	𩾇
戶	户
滬	沪
嚛	𪠸
護	护
鱯	鳠
鸌	鹱
嘩	哗
華	华
譁	哗
鏵	铧
驊	骅
鷨	𪉊
划	划
畫	画
話	话
劃	㓰 划
樺	桦
嫿	婳
澅	𣶩
諣	𫍩
懷	怀
壞	坏
鴅	𫛝
歡	欢
絙	𫄠
綄	𬘫
鉮	𬬹
環	环
鍰	锾
繯	缳
鐶	镮
闤	阛
瓛	𤩽
緩	缓
奐	奂
喚	唤
換	换
渙	涣
煥	焕
瘓	痪
鯇	鲩
鯶	𩽼
黃	黄
鍠	锽
餭	𫗮
鐄	𨱑
騜	𫘩
鰉	鳇
謊	谎
媈	𫝨
揮	挥
暉	晖
煇	𪸩
詼	诙
褘	袆
噅	𠯠
撝	㧑
翬	翚
輝	辉
回	回
迴	回
鮰	𫚔
毀	毁
燬	毁
譭	毁
匯	汇
彙	汇
會	会
賄	贿
誨	诲
噦	哕
殨	㱮
澮	浍
獩	𤞃
薈	荟
諱	讳
頮	颒
燴	烩
璯	㻅
穢	秽
繢	缋
繪	绘
翽	翙
譓	𬤝
闠	阓
靧	𫖃
葷	荤
閽	阍
堚	𪣒
渾	浑
琿	珲
餛	馄
諢	诨
鍃	锪
騞	𬴃
伙	伙
鈥	钬
夥	伙
貨	货
楇	𣒌
禍	祸
獲	获
穫	获
鑊	镬
飢	饥
勣	𪟝
跡	迹
銈	𫓯
嘰	叽
緝	缉
機	机
璣	玑
積	积
襀	𫌀
錤	𫓹
隮	𬯀
擊	击
磯	矶
績	绩
櫅	𪲎
蹟	迹
雞	鸡
譏	讥
饑	饥
躋	跻
齎	赍
齏	齑
羈	羁
极	极
級	级
極	极
輯	辑
藉	借
鶺	鹡
几	几
幾	几
魢	鱾
擠	挤
蟣	虮
紀	纪
計	计
記	记
際	际
誋	𫍪
劑	剂
薊	蓟
嚌	哜
濟	济
薺	荠
覬	觊
檵	𪲛
繼	继
鱀	𬶨
霽	霁
鰶	𬶭
鱭	鲚
驥	骥
夾	夹
家	家
浹	浃
梜	𬂩
傢	家
鉿	铪
鎵	镓
郟	郏
莢	荚
蛺	蛱
餄	饸
鋏	铗
頰	颊
鵊	𫛥
賈	贾
鉀	钾
檟	槚
价	价
價	价
駕	驾
奸	奸
戔	戋
姦	奸
堅	坚
間	间
監	监
箋	笺
樫	㭴
緘	缄
蕳	𫈉
鳽	𫛚
縑	缣
艱	艰
鐧	锏
殲	歼
鶼	鹣
鰹	鲣
韉	鞯
梘	枧
揀	拣
減	减
筧	笕
戩	戬
儉	俭
撿	捡
檢	检
襇	裥
襉	裥
瞼	睑
礆	硷
簡	简
繭	茧
籛	篯
譾	谫 𫍿
鹼	碱
見	见
荐	荐
漸	渐
劍	剑
澗	涧
諓	𬣡
賤	贱
踐	践
薦	荐
諫	谏 𫍝
鍵	键
餞	饯
濺	溅
艦	舰
鑑	鉴
鑒	鉴
姜	姜
將	将
僵	僵
漿	浆
薑	姜
殭	僵
螿	螀
繮	缰
鱂	鳉
蔣	蒋
槳	桨
獎	奖
講	讲
絳	绛
醬	酱
嬌	娇
澆	浇
膠	胶
鮫	鲛
鵁	䴔
轇	𫐖
鐎	𨱓
驕	骄
鷦	鹪
絞	绞
腳	脚
僥	侥
鉸	铰
餃	饺
撟	挢
矯	矫
蟜	𫊸
繳	缴
譑	𫍤
攪	搅
較	较
嶠	峤
轎	轿
階	阶
癤	疖
謯	𫍹
杰	杰
訐	讦
傑	杰
結	结
節	节
詰	诘
潔	洁
鮚	鲒
屆	届
借	借
誡	诫
釒	钅
紟	𫄛
釿	𬬱
巹	卺
僅	仅
盡	尽
緊	紧
儘	侭 尽
錦	锦
謹	谨
饉	馑
勁	劲
晉	晋
進	进
璡	琎
縉	缙
壗	𡋤
濜	浕
藎	荩
燼	烬
覲	觐
贐	赆
荊	荆
涇	泾
莖	茎
經	经
鯨	鲸
鶄	䴖
驚	惊
剄	刭
頸	颈
俓	𠇹
弳	弪
徑	径
逕	迳
桱	𣐕
淨	净
脛	胫
痙	痉
靚	靓
靜	静
鏡	镜
競	竞
絅	䌹
駉	𬳶
駫	𫘡
熲	颎
糺	𫄙
糾	纠
鳩	鸠
鬮	阄
廄	厩
舊	旧
欍	𣐤
鷲	鹫
鋦	锔
駒	驹
鮈	𬶋
局	局
侷	局
駶	𩧺
鶪	䴗
矩	矩
榘	矩
舉	举
櫸	榉
齟	龃
巨	巨
据	据
詎	讵
鉅	巨 钜
寠	𪧘
劇	剧
據	据
窶	窭
鋸	锯
屨	屦
颶	飓
貗	𫎌
懼	惧
鵑	鹃
鐫	镌
卷	卷
捲	卷
錈	锩
雋	隽
絹	绢
縳	䌸
撧	𪮖
屩	𪨗
蹻	𫏋
決	决
訣	诀
絕	绝
駃	𫘝
蕝	𫈵
鴃	𫛞
譎	谲
鶌	𫛵
覺	觉
鐍	𫔎
鐝	镢
灍	𫞝
钁	䦆 镢
軍	军
鈞	钧
皸	皲
銁	𫓲
鮶	鲪
俊	俊
儁	俊
餕	馂
駿	骏
開	开 𫔭
鐦	锎
凱	凯
剴	剀
塏	垲
愷	恺
鍇	锴
鎧	铠
闓	闿
愾	忾
龕	龛
檻	槛
轗	𫐘
闞	阚
鱇	𩾌
鈧	钪
閌	闶
銬	铐
鮳	鲓
軻	轲
鈳	钶
顆	颗
殼	壳
克	克
緙	缂
課	课
騍	骒
剋	克
墾	垦
懇	恳
齦	龈
硜	硁
鏗	铿
剾	𠛅
彄	𫸩
摳	抠
瞘	眍
扣	扣
釦	扣
庫	库
絝	绔
褲	裤
嚳	喾
夸	夸
誇	夸
擓	㧟
塊	块
儈	侩
鄶	郐
噲	哙
獪	狯
膾	脍
