合	閤
纥	紇
阂	閡
饸	餄
核	覈
龁	齕
颌	頜
阖	闔
鲄	魺
鹖	鶡
贺	賀
鹤	鶴
𬭶	𨭆
𬣳	詪
恒	恆
鸻	鴴
横	橫
轰	轟
哄	鬨
红	紅
纮	紘
闳	閎
荭	葒
𫟹	鉷
鸿	鴻
𬭎	鋐
黉	黌
唝	嗊
讧	訌
𬭤	鍭
糇	餱
后	後
鲎	鱟
鲘	鮜
轷	軤
戯	戱
胡	衚 鬍
壶	壺
鹕	鶘
糊	餬
浒	滸
户	戶
护	護
沪	滬
鹱	鸌
鳠	鱯
哗	嘩 譁
华	華
骅	驊
铧	鏵
划	劃 畫
画	畫 畵
话	話
桦	樺
婳	嫿
怀	懷
坏	壞
欢	歡
环	環
𬘫	綄
锾	鍰
缳	繯
阛	闤
𤩽	瓛
镮	鐶
鹮	䴉
缓	緩
奂	奐
唤	喚
换	換
涣	渙
焕	煥
痪	瘓
鲩	鯇
黄	黃
锽	鍠
𨱑	鐄
鳇	鰉
谎	謊
㧑	撝
诙	詼
挥	揮
袆	褘
晖	暉
翚	翬
辉	輝
回	迴
毁	毀 燬 譭
汇	匯 彙 滙
会	會
讳	諱
哕	噦
浍	澮
绘	繪
荟	薈
诲	誨
烩	燴
贿	賄
秽	穢
缋	繢
翙	翽
阓	闠
颒	頮
𬤝	譓
𬭬	鏏
荤	葷
阍	閽
浑	渾
珲	琿
馄	餛
诨	諢
𬴃	騞
锪	鍃
伙	夥
钬	鈥
夥	夥
货	貨
获	獲 穫
祸	禍
镬	鑊
讥	譏
击	擊
叽	嘰
饥	飢 饑
机	機
玑	璣
矶	磯
鸡	雞 鷄
𬯀	隮
积	積
𫓯	銈
缉	緝
赍	賫 齎
𫌀	襀
跻	躋
𫓹	錤
齑	齏
羁	羈
级	級
即	卽
极	極
辑	輯
鹡	鶺
藉	藉
几	幾
虮	蟣
挤	擠
鱾	魢
计	計
记	記
纪	紀
际	際
剂	劑
哜	嚌
既	旣
济	濟
荠	薺
迹	跡 蹟
𪟝	勣
继	繼
觊	覬
绩	績
蓟	薊
霁	霽
鲚	鱭
鲫	鯽
𬶨	鱀
骥	驥
𬶭	鰶
夹	夾
浃	浹
家	傢
𬂩	梜
镓	鎵
郏	郟
荚	莢
铗	鋏
蛱	蛺
颊	頰
贾	賈
钾	鉀
槚	檟
价	價
驾	駕
戋	戔
奸	姦
坚	堅
歼	殲
间	間
艰	艱
监	監
笺	箋
缄	緘
缣	縑
鲣	鰹
鹣	鶼
篯	籛
鞯	韉
鳒	鰜
拣	揀
枧	梘
俭	儉
茧	繭
捡	撿
笕	筧
减	減
检	檢
睑	瞼
硷	礆
裥	襇 襉
锏	鐧
简	簡
谫	謭 譾
戬	戩
碱	鹼
见	見
𬣡	諓
饯	餞
剑	劍
荐	薦
贱	賤
涧	澗
舰	艦
渐	漸
谏	諫
溅	濺
践	踐
鉴	鑑 鑒
键	鍵
姜	薑
将	將
浆	漿
僵	殭
螀	螿
缰	繮 韁
鳉	鱂
讲	講
奖	奬 獎
桨	槳
蒋	蔣
绛	絳
酱	醬
娇	嬌
浇	澆
骄	驕
胶	膠
鲛	鮫
䴔	鵁
鹪	鷦
侥	僥
挢	撟
绞	絞
饺	餃
矫	矯
脚	腳
铰	鉸
搅	攪
缴	繳
峤	嶠
轿	轎
较	較
教	敎
阶	階
疖	癤
节	節
讦	訐
杰	傑
诘	詰
洁	潔
结	結
颉	頡
鲒	鮚
届	屆
诫	誡
借	藉
钅	釒
𬬱	釿
仅	僅
尽	儘 盡
侭	儘
卺	巹
紧	緊
谨	謹
锦	錦
馑	饉
劲	勁
进	進
浕	濜
荩	藎
晋	晉
烬	燼
赆	贐
琎	璡
缙	縉
觐	覲
泾	涇
经	經
茎	莖
荆	荊
惊	驚
鲸	鯨
䴖	鶄
刭	剄
颈	頸
净	凈 淨
弪	弳
径	徑
迳	逕
胫	脛
痉	痙
竞	競
靓	靚
静	靜
镜	鏡
𬳶	駉
䌹	絅
颎	熲
纠	糾
鸠	鳩
阄	鬮
旧	舊
厩	廄
鹫	鷲
驹	駒
锔	鋦
𬶋	鮈
局	侷
䴗	鶪
举	舉
矩	榘
榉	櫸 欅
龃	齟
巨	鉅
讵	詎
钜	鉅
剧	劇
惧	懼
据	據
飓	颶
锯	鋸
窭	窶
屦	屨
鹃	鵑
镌	鎸 鐫
卷	捲
锩	錈
绢	絹
隽	雋
决	決
诀	訣
𫘝	駃
绝	絕 絶
觉	覺
谲	譎
镢	鐝 钁
𫔎	鐍
军	軍
钧	鈞
皲	皸
鲪	鮶
俊	儁
馂	餕
骏	駿
开	開
锎	鐦
凯	凱
剀	剴
垲	塏
恺	愷
闿	闓
铠	鎧
锴	鍇
忾	愾
龛	龕
槛	檻
阚	闞
𩾌	鱇
闶	閌
钪	鈧
铐	銬
鲓	鮳
轲	軻
疴	痾
钶	鈳
颏	頦
颗	顆
壳	殻 殼
克	剋
课	課
骒	騍
缂	緙
锞	錁
剋	剋
垦	墾
恳	懇
硁	硜
铿	鏗
𫸩	彄
抠	摳
眍	瞘
扣	釦
库	庫
绔	絝
喾	嚳
裤	褲
夸	誇
㧟	擓
块	塊
侩	儈
郐	鄶
哙	噲
狯	獪
脍	膾
鲙	鱠
宽	寬
髋	髖
诓	誆
诳	誑
𫛭	鵟
邝	鄺
圹	壙
纩	纊
况	況
旷	曠
矿	礦
贶	貺
亏	虧
岿	巋
窥	窺
骙	騤
𫠆	頍
匮	匱
愦	憒
溃	潰
蒉	蕢
馈	饋
瞆	瞶
篑	簣
聩	聵
昆	崑
裈	褌
锟	錕
鹍	鵾
鲲	鯤
捆	綑
阃	閫
壸	壼
困	睏
扩	擴
阔	闊
腊	臘
蜡	蠟
𬶟	鯻
镴	鑞
来	來
俫	倈
崃	崍
徕	徠
涞	淶
莱	萊
梾	棶
铼	錸
赉	賚
睐	睞
赖	賴
濑	瀨
癞	癩
籁	籟
兰	蘭
岚	嵐
拦	攔
栏	欄
阑	闌
蓝	藍
𬒗	𥗽
谰	讕
澜	瀾
褴	襤
斓	斕
篮	籃
襕	襴
镧	鑭
览	覽
揽	攬
缆	纜
榄	欖
懒	懶
烂	爛
滥	濫
锒	鋃
阆	閬
捞	撈
劳	勞
唠	嘮
𫭼	𡑍
崂	嶗
痨	癆
铹	鐒
铑	銠
涝	澇
耢	耮
乐	樂
鳓	鰳
了	瞭
饹	餎
缧	縲
蔂	虆
镭	鐳
诔	誄
垒	壘
泪	淚
类	類
累	纍
颣	纇
棱	稜
厘	釐
离	離
骊	驪
鹂	鸝
漓	灕
缡	縭
蓠	蘺
鲡	鱺
篱	籬
礼	禮
里	裏 裡
逦	邐
锂	鋰
鲤	鯉
鳢	鱧
历	厤 曆 歷
厉	厲
丽	麗
励	勵
呖	嚦
坜	壢
𫵷	㠣
沥	瀝
苈	藶
枥	櫪
疠	癘
隶	隸
俪	儷
栎	櫟
𬍛	瓅
疬	癧
轹	轢
郦	酈
栗	慄
砺	礪
砾	礫
莅	蒞
粝	糲
蛎	蠣
跞	躒
雳	靂
俩	倆
奁	奩
连	連
帘	簾
怜	憐
涟	漣
莲	蓮
梿	槤
联	聯
裢	褳
鲢	鰱
镰	鎌 鐮
敛	斂
琏	璉
脸	臉
裣	襝
蔹	蘞
练	練
炼	煉 鍊
恋	戀
殓	殮
链	鍊 鏈
潋	瀲
𬶠	鰊
凉	涼
梁	樑
𫟅	綡
辌	輬
粮	糧
两	兩
唡	啢
𬜯	䓣
魉	魎
谅	諒
辆	輛
辽	遼
疗	療
缭	繚
鹩	鷯
钌	釕
瞭	瞭
镣	鐐
猎	獵
䴕	鴷
𫚭	鱲
邻	鄰
临	臨
𬴊	驎
辚	轔
𬭸	鏻
鳞	鱗
凛	凜
廪	廩
懔	懍
檩	檁
赁	賃
蔺	藺
躏	躪
灵	靈
凌	淩
铃	鈴
鸰	鴒
棂	欞
绫	綾
龄	齡
鲮	鯪
岭	嶺
领	領
刘	劉
浏	瀏
馏	餾
骝	騮
飗	飀
镏	鎦
鹠	鶹
镠	鏐
绺	綹
锍	鋶
鹨	鷚
龙	龍
咙	嚨
泷	瀧
茏	蘢
昽	曨
栊	櫳
珑	瓏
胧	朧
眬	矓
砻	礱
笼	籠
聋	聾
陇	隴
垄	壟
垅	壠
拢	攏
𬕂	篢
䁖	瞜
娄	婁
偻	僂
喽	嘍
𪣻	塿
溇	漊
蒌	蔞
楼	樓
耧	耬
蝼	螻
髅	髏
嵝	嶁
搂	摟
篓	簍
瘘	瘺 瘻
镂	鏤
噜	嚕
撸	擼
卢	盧
庐	廬
芦	蘆
垆	壚
泸	瀘
炉	爐
栌	櫨
胪	臚
轳	轤
𬬻	鑪
鸬	鸕
舻	艫
颅	顱
鲈	鱸
卤	滷 鹵
虏	虜
掳	擄
硵	磠
鲁	魯
澛	瀂
橹	櫓
镥	鑥
陆	陸
录	彔 錄 録
赂	賂
辂	輅
渌	淥
𫘧	騄
禄	祿
箓	籙
辘	轆
鹭	鷺
氇	氌
驴	驢
闾	閭
榈	櫚
𦝼	膢
吕	呂
侣	侶
铝	鋁
屡	屢
缕	縷
褛	褸
穞	穭
虑	慮
绿	綠 緑
滤	濾
娈	孌
孪	孿
峦	巒
挛	攣
栾	欒
鸾	鸞
脔	臠
滦	灤
銮	鑾
乱	亂
锊	鋝
抡	掄
仑	侖 崙
